id,newspaper_id,content,label
50095,1667,"Tất_cả các loại vắcxin kể_cả thuốc điều_trị đã tiêm vào người thì chắc_chắn có tỷ_lệ phản_ứng từ nhẹ cho_đến nặng
",3
50096,1667,"Nhưng vẫn phải tiêm vì xác_suất để cứu_sống người rất nhiều so với tỷ_lệ tai_biến
",3
50097,1667,"Đó là nguyên_tắc của y_học và chúng_ta phải vận_dụng , Bộ_trưởng Tiến khẳng_định
",3
50098,1667,"Trẻ được tiêm vắcxin ComBE Five tại Trạm_y_tế xã Ngọc_Hoà
",3
50099,1667,"Ảnh Lê_Nga
",3
50100,1667,"Tại trạm y_tế xã Phú_Nghĩa , trong_sáng nay có 42 em_bé đến tiêm_chủng
",3
50101,1667,"Hơn 50 trẻ xã Ngọc_Hòa được chích_ngừa
",3
50102,1667,"Trong_đó , nhiều trẻ lần_đầu được tiêm vắcxin ComBE Five
",3
50103,1667,"Chị Nguyễn_Thị_Lục ở xã Phú_Nghĩa cho_biết , con_trai chị là bé Nguyễn_Hoàng_Dũng từng tiêm 2 mũi Quivaxem từ 23 tháng tuổi
",3
50104,1667,"Sau tiêm 2 lần_đó , bé đều có biểu_hiện sốt nhưng tự khỏi
",3
50105,1667,"Thời_gian qua thiếu vắcxin nên đến nay bé 6 tháng tuổi mới có_thể tiêm_tiếp
",3
50106,1667,"Tôi đã nghe_nói về việc thay_đổi vắcxin
",3
50107,1667,"Thấy nhiều phụ_huynh phàn_nàn về việc con sốt sau tiêm , tôi cũng lo_lắng nhưng sau khi được các bác_sĩ tư_vấn , tôi đưa con đến tiêm , chị Lục chia_sẻ
",3
50108,1667,"Tại các trạm_y_tế xã , Bộ_trưởng trực_tiếp kiểm_tra sổ tiêm_chủng , ghi_chép , các phần_mềm quản_lý ở trạm đồng_thời kiểm_tra công_tác tư_vấn , truyền_thông , thực_hành tiêm_chủng tại trạm
",3
